Problem,Run,IGDp_first,IGDp_final,IGDrelCheck
DTLZ7,20,46.0016825897286,17.0490951976515,0
WFG1,1,3.78431295027188,3.46814833196009,0
WFG1,2,3.73922166732511,3.62079456779537,0
WFG1,3,3.76923290375802,3.58996130458039,0
WFG1,4,3.69134778802183,3.6332591725421,0
WFG1,5,3.66857211755137,3.42281040423642,0
WFG1,6,3.71745927789862,3.59302975657373,0
WFG1,7,3.81586775672305,3.61644834211463,0
WFG1,8,3.76622510491306,3.56677047001566,0
WFG1,9,3.7818554888493,3.63572941769976,0
WFG1,10,3.78621731932788,3.65775848784288,0
WFG1,11,3.75917961031828,3.58637946257819,0
WFG1,12,3.77565147237677,3.66370757690788,0
WFG1,13,3.77778701253687,3.60026387505756,0
WFG1,14,3.78316342416916,3.4633881953722,0
WFG1,15,3.73512651288996,3.50192128961056,0
WFG1,16,3.78062084660613,3.68374450741875,0
WFG1,17,3.79522133086073,3.6337841389854,0
WFG1,18,3.80011413980044,3.52566619129793,0
WFG1,19,3.77405806202121,3.64082657960244,0
WFG1,20,3.79477903814754,3.40196684486202,0
WFG2,1,8.03517417449758,5.45557220212943,0
WFG2,2,5.9837780275832,2.3026466776958,0
WFG2,3,6.46047751635706,3.22325363574345,0
WFG2,4,6.56506006804829,2.22329497664124,0
WFG2,5,5.14918782528588,2.36854195473976,0
WFG2,6,8.3124941415149,3.20483584775441,0
WFG2,7,7.57441531347043,2.17429848200319,0
WFG2,8,3.69155659666063,2.5208517221721,0
WFG2,9,7.19064598257353,3.75465934980191,0
WFG2,10,6.89367174800727,2.10800778681678,0
WFG2,11,7.78475513455024,3.43425973536004,0
WFG2,12,7.39131409172992,3.11755557764177,0
WFG2,13,8.38805765153849,6.23303099677732,0
WFG2,14,5.05042827447044,3.10903123471383,0
WFG2,15,4.71438010687423,3.19406788980362,0
WFG2,16,5.10729916954166,2.19188049163267,0
WFG2,17,7.92836982755312,2.65303485093938,0
WFG2,18,6.64088514645367,2.21477098560168,0
WFG2,19,5.47919188826827,2.238223669149,0
WFG2,20,4.94386283378054,2.66532113993589,0
WFG3,1,2.27226630031468,2.14966120401533,0
WFG3,2,2.22049660884732,2.03183631469009,0
WFG3,3,2.36764948114188,2.08494910418117,0
WFG3,4,2.36368437976586,2.16505153621692,0
WFG3,5,2.16099324774076,2.11929289793717,0
WFG3,6,2.2362173902953,2.10398980023862,0
WFG3,7,2.39833295867343,2.06157238346392,0
WFG3,8,2.34913401808064,1.91133258693763,0
WFG3,9,2.38269021639112,1.97618579346839,0
WFG3,10,2.33319653651463,1.95052390205232,0
WFG3,11,2.25979750076843,2.00946457105085,0
WFG3,12,2.36882576478307,2.02562465369862,0
WFG3,13,2.35871754438902,1.84199684255782,0
WFG3,14,2.32666254228032,2.20297665427929,0
WFG3,15,2.29353313421779,2.04086085581486,0
WFG3,16,2.20513681023482,1.89766551115491,0
WFG3,17,2.24020600910767,2.06478213830505,0
WFG3,18,2.34766495113616,2.15381216111352,0
WFG3,19,2.44952176902929,2.23324515859926,0
WFG3,20,2.1718503359086,2.12085429793154,0
WFG4,1,17.2362951464319,10.9894601854162,0
