problem,M,run,stage,gen,ratio,mean_conf,acc_conv,acc_hyb,auc_conv,auc_hyb,auc_pair_conv,auc_pair_hyb,acc_pair_conv,acc_pair_hyb,n_pairs
DTLZ2,20,4,4,10,0.833333333333333,0.533556226678238,0.64,0.54,0.72265625,0.698872785829308,0.635005545526412,0.604840905379734,0.469090909090909,0.391313131313131,9900
DTLZ2,20,4,5,20,1,0.491963191150164,0.7,0.64,0.667142857142857,0.570746527777778,0.614851735791091,0.548799976926415,0.53030303030303,0.469090909090909,9900
DTLZ2,20,5,1,0,0.333333333333333,0.50657096371493,0.88,0.72,0.583333333333333,0.599702380952381,0.555660707876882,0.563859623515799,0.779393939393939,0.553131313131313,9900
DTLZ2,20,5,2,2,0.5,0.499087114142763,0.82,0.66,0.558943089430894,0.555258467023173,0.532382492119387,0.530810594321281,0.685454545454545,0.488282828282828,9900
DTLZ2,20,5,3,5,0.666666666666667,0.469070338069857,0.76,0.68,0.489583333333333,0.384650735294118,0.501934540849433,0.443709240834413,0.602424242424242,0.508686868686869,9900
DTLZ2,20,5,4,10,0.833333333333333,0.472640271518066,0.78,0.7,0.508158508158508,0.407619047619048,0.525103517813248,0.458204935995904,0.628888888888889,0.53030303030303,9900
DTLZ2,20,5,5,20,1,0.516094899394077,0.7,0.6,0.772380952380952,0.787916666666667,0.686619231950845,0.665761627906977,0.53030303030303,0.434343434343434,9900
DTLZ4,10,1,1,0,0.333333333333333,0.515046950612491,0.72,0.68,0.655257936507937,0.642922794117647,0.546637010159077,0.535573312936332,0.553131313131313,0.508686868686869,9900
DTLZ4,10,1,2,2,0.5,0.428321687511455,0.72,0.6,0.36656746031746,0.282083333333333,0.39705547270549,0.367867441860465,0.553131313131313,0.434343434343434,9900
DTLZ4,10,1,3,5,0.666666666666667,0.563798392242066,0.78,0.68,0.71969696969697,0.725183823529412,0.620515648899613,0.624932557951173,0.628888888888889,0.508686868686869,9900
DTLZ4,10,1,4,10,0.833333333333333,0.564762166452375,0.8,0.76,0.781875,0.700109649122807,0.687631312217195,0.62956192439188,0.656565656565657,0.602424242424242,9900
DTLZ4,10,1,5,20,1,0.516534871812379,0.68,0.62,0.707720588235294,0.696095076400679,0.639892445445425,0.614580766535889,0.508686868686869,0.451111111111111,9900
DTLZ4,10,2,1,0,0.333333333333333,0.55859763119708,0.66,0.54,0.818181818181818,0.830515297906602,0.66595037356297,0.62242791990173,0.488282828282828,0.391313131313131,9900
DTLZ4,10,2,2,2,0.5,0.411424247401718,0.68,0.6,0.271139705882353,0.30625,0.361964578717445,0.410250996677741,0.508686868686869,0.434343434343434,9900
DTLZ4,10,2,3,5,0.666666666666667,0.47404929165607,0.84,0.72,0.534970238095238,0.456349206349206,0.512751406819465,0.469935883295445,0.715555555555556,0.553131313131313,9900
DTLZ4,10,2,4,10,0.833333333333333,0.510100056004579,0.72,0.68,0.625992063492063,0.617647058823529,0.569315619563652,0.557073119591572,0.553131313131313,0.508686868686869,9900
DTLZ4,10,2,5,20,1,0.517538335969084,0.62,0.6,0.866723259762309,0.763333333333333,0.725467899531585,0.649193687707641,0.451111111111111,0.434343434343434,9900
DTLZ4,10,3,1,0,0.333333333333333,0.520997693373005,0.66,0.56,0.800802139037433,0.810064935064935,0.653108222599461,0.621189360164937,0.488282828282828,0.404444444444444,9900
DTLZ4,10,3,2,2,0.5,0.56502408411613,0.66,0.64,0.763814616755793,0.698350694444444,0.633943570847437,0.598861462786634,0.488282828282828,0.469090909090909,9900
DTLZ4,10,3,3,5,0.666666666666667,0.567784470350845,0.84,0.6,0.713541666666667,0.735,0.619738864149684,0.634952159468439,0.715555555555556,0.434343434343434,9900
DTLZ4,10,3,4,10,0.833333333333333,0.540520211260701,0.74,0.7,0.742723492723493,0.682857142857143,0.652692500845778,0.616368008192524,0.577171717171717,0.53030303030303,9900
DTLZ4,10,3,5,20,1,0.519329369414115,0.64,0.64,0.760416666666667,0.759982638888889,0.656924795844657,0.66463658448013,0.469090909090909,0.469090909090909,9900
DTLZ4,10,4,1,0,0.333333333333333,0.546248496169066,0.64,0.56,0.835503472222222,0.848214285714286,0.676584702999697,0.650215117311454,0.469090909090909,0.404444444444444,9900
DTLZ4,10,4,2,2,0.5,0.479248129054712,0.62,0.56,0.486842105263158,0.45900974025974,0.456380115512272,0.444665917528875,0.451111111111111,0.404444444444444,9900
DTLZ4,10,4,3,5,0.666666666666667,0.569325828279145,0.84,0.72,0.747767857142857,0.703869047619048,0.638574524536728,0.618621517270166,0.715555555555556,0.553131313131313,9900
DTLZ4,10,4,4,10,0.833333333333333,0.55217850311397,0.82,0.7,0.712737127371274,0.721904761904762,0.634827342022877,0.619241945724526,0.685454545454545,0.53030303030303,9900
