Problem,M,Run,Seed,Stage,anchor_margin,score_hybrid,score_v,Hybrid - Direction,Hybrid - Margin
DTLZ2,20,13,12013,"S2_(0.25,0.50]",0.0495238095238095,0.152380952380952,0.173333333333333,-0.020952380952381,0.10285714285714251
DTLZ2,20,13,12013,"S3_(0.50,0.75]",0.236,0.492,0.506,-0.014000000000000012,0.256
DTLZ2,20,13,12013,"S4_(0.75,1.00]",0.68952380952381,0.819047619047619,0.8,0.01904761904761898,0.12952380952380904
DTLZ2,20,14,12014,"S1_[0,0.25]",0.0,0.048,0.048,0.0,0.048
DTLZ2,20,14,12014,"S2_(0.25,0.50]",0.059047619047619,0.165714285714286,0.152380952380952,0.013333333333334002,0.106666666666667
DTLZ2,20,14,12014,"S3_(0.50,0.75]",0.262,0.308,0.298,0.010000000000000009,0.045999999999999985
DTLZ2,20,14,12014,"S4_(0.75,1.00]",0.55047619047619,0.651428571428571,0.643809523809524,0.00761904761904697,0.10095238095238102
DTLZ2,20,15,12015,"S1_[0,0.25]",0.0,0.112,0.104,0.008000000000000007,0.112
DTLZ2,20,15,12015,"S2_(0.25,0.50]",0.0590476190476191,0.123809523809524,0.146666666666667,-0.022857142857143006,0.0647619047619049
DTLZ2,20,15,12015,"S3_(0.50,0.75]",0.286,0.306,0.306,0.0,0.020000000000000018
DTLZ2,20,15,12015,"S4_(0.75,1.00]",0.563809523809524,0.624761904761905,0.619047619047619,0.005714285714286005,0.06095238095238098
DTLZ2,20,16,12016,"S1_[0,0.25]",0.032,0.104,0.104,0.0,0.072
DTLZ2,20,16,12016,"S2_(0.25,0.50]",0.150476190476191,0.198095238095238,0.16952380952381,0.028571428571427998,0.04761904761904698
DTLZ2,20,16,12016,"S3_(0.50,0.75]",0.306,0.42,0.418,0.0020000000000000018,0.11399999999999999
DTLZ2,20,16,12016,"S4_(0.75,1.00]",0.666666666666667,0.731428571428572,0.700952380952381,0.03047619047619099,0.06476190476190502
DTLZ2,20,17,12017,"S1_[0,0.25]",0.048,0.12,0.128,-0.008000000000000007,0.072
DTLZ2,20,17,12017,"S2_(0.25,0.50]",0.0857142857142857,0.205714285714286,0.234285714285714,-0.028571428571427998,0.12000000000000029
DTLZ2,20,17,12017,"S3_(0.50,0.75]",0.282,0.312,0.284,0.028000000000000025,0.030000000000000027
DTLZ2,20,17,12017,"S4_(0.75,1.00]",0.504761904761905,0.512380952380952,0.539047619047619,-0.02666666666666695,0.007619047619047081
DTLZ2,20,18,12018,"S1_[0,0.25]",0.0,0.0,0.016,-0.016,0.0
DTLZ2,20,18,12018,"S2_(0.25,0.50]",0.0114285714285714,0.060952380952381,0.0571428571428571,0.0038095238095239015,0.0495238095238096
DTLZ2,20,18,12018,"S3_(0.50,0.75]",0.176,0.36,0.364,-0.0040000000000000036,0.184
