M,Problem,Algorithm,Run,Snapshots,FirstFE,LastFE,FinalIGD
15,WFG1,PIEA,19,30,100,300,4.223353026
15,WFG1,PIEA,2,30,100,300,4.244684074
15,WFG1,PIEA,20,30,100,300,4.280121754
15,WFG1,PIEA,21,30,100,300,4.231585806
15,WFG1,PIEA,22,30,100,300,4.259369105
15,WFG1,PIEA,23,30,100,300,4.213667973
15,WFG1,PIEA,24,30,100,300,4.231150675
15,WFG1,PIEA,25,30,100,300,4.218055846
15,WFG1,PIEA,26,30,100,300,4.26376837
15,WFG1,PIEA,27,30,100,300,4.221922495
15,WFG1,PIEA,28,30,100,300,4.243587273
15,WFG1,PIEA,29,30,100,300,4.279041258
15,WFG1,PIEA,3,30,100,300,4.158175369
15,WFG1,PIEA,30,30,100,300,4.249310419
15,WFG1,PIEA,4,30,100,300,4.295685637
15,WFG1,PIEA,5,30,100,300,4.239089887
15,WFG1,PIEA,6,30,100,300,4.170566134
15,WFG1,PIEA,7,30,100,300,4.214291346
15,WFG1,PIEA,8,30,100,300,4.284744746
15,WFG1,PIEA,9,30,100,300,4.253421109
15,WFG6,PIEA,1,30,100,300,12.62932803
15,WFG6,PIEA,10,30,100,300,13.31501249
15,WFG6,PIEA,11,30,100,300,12.33885509
15,WFG6,PIEA,12,30,100,300,12.48520499
15,WFG6,PIEA,13,30,100,300,13.03969167
15,WFG6,PIEA,14,30,100,300,12.24726887
15,WFG6,PIEA,15,30,100,300,14.38098981
15,WFG6,PIEA,16,30,100,300,12.13016695
15,WFG6,PIEA,17,30,100,300,13.02860883
15,WFG6,PIEA,18,30,100,300,11.64520045
15,WFG6,PIEA,19,30,100,300,12.27400405
15,WFG6,PIEA,2,30,100,300,12.44024475
15,WFG6,PIEA,20,30,100,300,12.57938926
15,WFG6,PIEA,21,30,100,300,13.76954846
15,WFG6,PIEA,22,30,100,300,16.00590193
15,WFG6,PIEA,23,30,100,300,13.3587128
15,WFG6,PIEA,24,30,100,300,12.4222627
15,WFG6,PIEA,25,30,100,300,12.422865
15,WFG6,PIEA,26,30,100,300,11.9404726
15,WFG6,PIEA,27,30,100,300,12.98043865
15,WFG6,PIEA,28,30,100,300,14.12393348
15,WFG6,PIEA,29,30,100,300,13.64438872
15,WFG6,PIEA,3,30,100,300,13.33635297
15,WFG6,PIEA,30,30,100,300,11.69880366
15,WFG6,PIEA,4,30,100,300,13.99940243
15,WFG6,PIEA,5,30,100,300,13.7673339
15,WFG6,PIEA,6,30,100,300,12.80485923
15,WFG6,PIEA,7,30,100,300,12.60796872
15,WFG6,PIEA,8,30,100,300,13.0962218
15,WFG6,PIEA,9,30,100,300,10.84854795
15,WFG7,PIEA,1,30,100,300,14.39402497
15,WFG7,PIEA,10,30,100,300,15.57663392
15,WFG7,PIEA,11,30,100,300,14.81888604
15,WFG7,PIEA,12,30,100,300,14.34224631
15,WFG7,PIEA,13,30,100,300,14.20080714
15,WFG7,PIEA,14,30,100,300,12.90924387
15,WFG7,PIEA,15,30,100,300,16.68434381
15,WFG7,PIEA,16,30,100,300,11.77684326
15,WFG7,PIEA,17,30,100,300,15.93048503
15,WFG7,PIEA,18,30,100,300,15.39196464
15,WFG7,PIEA,19,30,100,300,14.53407455
15,WFG7,PIEA,2,30,100,300,14.4507039
15,WFG7,PIEA,20,30,100,300,17.1264994
15,WFG7,PIEA,21,30,100,300,15.27722162
15,WFG7,PIEA,22,30,100,300,16.20706303
15,WFG7,PIEA,23,30,100,300,14.08931709
15,WFG7,PIEA,24,30,100,300,15.01133189
15,WFG7,PIEA,25,30,100,300,16.55473273
15,WFG7,PIEA,26,30,100,300,13.81988284
15,WFG7,PIEA,27,30,100,300,15.41967176
15,WFG7,PIEA,28,30,100,300,15.32428776
15,WFG7,PIEA,29,30,100,300,13.79838176
15,WFG7,PIEA,3,30,100,300,14.29594761
15,WFG7,PIEA,30,30,100,300,13.83978187
15,WFG7,PIEA,4,30,100,300,15.23125098
15,WFG7,PIEA,5,30,100,300,15.68176266
15,WFG7,PIEA,6,30,100,300,13.58066051
15,WFG7,PIEA,7,30,100,300,12.89958993
15,WFG7,PIEA,8,30,100,300,14.1908062
15,WFG7,PIEA,9,30,100,300,13.68937521
15,WFG8,PIEA,1,30,100,300,12.37806161
15,WFG8,PIEA,10,30,100,300,13.07186805
15,WFG8,PIEA,11,30,100,300,12.95894004
15,WFG8,PIEA,12,30,100,300,12.46333533
