algorithm,problem,FE_checkpoint,n,mean_IGD,sd_IGD
Pruned,DTLZ5,250,18,0.8629554779301455,0.1258177611574786
Pruned,DTLZ5,300,18,0.828481981456366,0.13308939838655512
Pruned,DTLZ7,120,18,27.51583585276903,2.341159395717939
Pruned,DTLZ7,150,18,22.362072023116575,2.4383542060968586
Pruned,DTLZ7,200,18,16.80409543274593,2.719838865061304
Pruned,DTLZ7,250,18,12.61056169215859,2.300981427543946
Pruned,DTLZ7,300,18,10.491813553403832,1.9497704643569505
Weighted_Q080,DTLZ2,120,18,1.5661324865321258,0.10158913677284483
Weighted_Q080,DTLZ2,150,18,1.4573686714431937,0.1072639730994765
Weighted_Q080,DTLZ2,200,18,1.3468069975749486,0.12149754832153728
Weighted_Q080,DTLZ2,250,18,1.2421752250009435,0.11064673376217751
Weighted_Q080,DTLZ2,300,18,1.1808070490905147,0.10611589789467364
Weighted_Q080,DTLZ5,120,18,0.987011320539604,0.11692294801720778
Weighted_Q080,DTLZ5,150,18,0.9461738791184242,0.11007139326306944
Weighted_Q080,DTLZ5,200,18,0.8986319209469245,0.11848957305461588
Weighted_Q080,DTLZ5,250,18,0.8262839617490904,0.12478947146023876
Weighted_Q080,DTLZ5,300,18,0.759644239857539,0.12862331324100493
Weighted_Q080,DTLZ7,120,18,25.933403796178418,2.2975713769437265
Weighted_Q080,DTLZ7,150,18,20.795093594506692,2.2264463925439872
Weighted_Q080,DTLZ7,200,18,15.431355602999227,1.4432083420933093
Weighted_Q080,DTLZ7,250,18,11.383637578313065,1.161915562209602
Weighted_Q080,DTLZ7,300,18,9.37427941258097,1.2230352958204387
REMO,DTLZ2,120,30,1.5973238567736818,0.09099691468078572
REMO,DTLZ2,150,30,1.463248877987668,0.09381808563749461
REMO,DTLZ2,200,30,1.3088967179436668,0.09640377810383864
REMO,DTLZ2,250,30,1.187774321670846,0.10348181121744612
REMO,DTLZ2,300,30,1.1201346330422834,0.09007324752523012
REMO,DTLZ4,120,30,1.7959843120522,0.09302196222748241
REMO,DTLZ4,150,30,1.6258845457845763,0.11486842561715724
REMO,DTLZ4,200,30,1.3665626281778729,0.10455516746076426
