algorithm,problem,n,mean,sd,median,min,max,FE_min,FE_max,overshoot_runs,metadata_runs,run_ids
REMO,DTLZ4,30,1.127248987491718,0.09687013026315751,1.1145537083598462,0.9962181133139829,1.3448487881412632,300.0,305.0,23,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
REMO,DTLZ5,30,0.6492397645224107,0.129611081831764,0.653053145831579,0.41178915827677137,0.9743508900449442,300.0,307.0,23,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
REMO,DTLZ7,30,20.872632177845215,2.4717239204647874,20.476046356628164,17.181615616646145,25.879057685878966,300.0,310.0,27,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PIEA,DTLZ2,30,0.979649905916819,0.0561049846097074,0.9755043214945274,0.8767826634077583,1.0723962969525007,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PIEA,DTLZ4,30,1.2340312583526445,0.05326729494002462,1.2543169855770655,1.106451323408711,1.2992544359938063,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PIEA,DTLZ5,30,0.2983353404516781,0.03716416933966876,0.2948906691649097,0.2131890889377426,0.3688629109814166,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
PIEA,DTLZ7,30,20.06584292051892,5.517353170115774,20.343606596489014,7.614399323470482,30.129785522825888,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
CSEA,DTLZ2,30,1.2995872554238859,0.09731488994335014,1.3079905643884624,1.1014661872566902,1.4594564578844598,300.0,311.0,29,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
CSEA,DTLZ4,30,1.223338951055505,0.07957180482172395,1.229705442409048,1.0552545049050537,1.3890054779111274,300.0,311.0,24,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
CSEA,DTLZ5,30,0.7436346027831519,0.12184292988916416,0.7413984857196053,0.40972655824785087,0.93976606747431,300.0,311.0,29,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
