M,problem,algorithm,source_algorithm,mean,std,symbol,source_file,source_sheet,source_cell,raw
15,DTLZ5,REMO,REMO,4.1976e-1,8.62e-2,+,pruned_weight十五目标.xlsx,IGD,D6,4.1976e-1 (8.62e-2) +
15,DTLZ5,PIEA,PIEA,2.2249e-1,3.21e-2,+,pruned_weight十五目标.xlsx,IGD,E6,2.2249e-1 (3.21e-2) +
15,DTLZ5,MCEA/D,MCEAD,3.0237e-1,5.01e-2,+,pruned_weight十五目标.xlsx,IGD,F6,3.0237e-1 (5.01e-2) +
15,DTLZ5,CSEA,CSEA,4.7230e-1,8.39e-2,+,pruned_weight十五目标.xlsx,IGD,G6,4.7230e-1 (8.39e-2) +
15,DTLZ5,K-RVEA,KRVEA_100,5.3602e-1,1.17e-1,=,pruned_weight十五目标.xlsx,IGD,H6,5.3602e-1 (1.17e-1) =
15,DTLZ5,PC-SAEA,PCSAEA_N100,6.9668e-1,9.13e-2,-,pruned_weight十五目标.xlsx,IGD,I6,6.9668e-1 (9.13e-2) -
15,DTLZ5,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,5.6957e-1,8.08e-2,,pruned_weight十五目标.xlsx,IGD,J6,5.6957e-1 (8.08e-2)
15,DTLZ6,REMO,REMO,1.1838e+1,8.42e-1,-,pruned_weight十五目标.xlsx,IGD,D7,1.1838e+1 (8.42e-1) -
15,DTLZ6,PIEA,PIEA,3.6798e+0,1.64e+0,+,pruned_weight十五目标.xlsx,IGD,E7,3.6798e+0 (1.64e+0) +
15,DTLZ6,MCEA/D,MCEAD,6.2289e+0,1.46e+0,+,pruned_weight十五目标.xlsx,IGD,F7,6.2289e+0 (1.46e+0) +
15,DTLZ6,CSEA,CSEA,1.1811e+1,9.04e-1,-,pruned_weight十五目标.xlsx,IGD,G7,1.1811e+1 (9.04e-1) -
15,DTLZ6,K-RVEA,KRVEA_100,1.1731e+1,8.42e-1,-,pruned_weight十五目标.xlsx,IGD,H7,1.1731e+1 (8.42e-1) -
15,DTLZ6,PC-SAEA,PCSAEA_N100,1.3023e+1,3.95e-1,-,pruned_weight十五目标.xlsx,IGD,I7,1.3023e+1 (3.95e-1) -
15,DTLZ6,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.0311e+1,1.10e+0,,pruned_weight十五目标.xlsx,IGD,J7,1.0311e+1 (1.10e+0)
15,DTLZ7,REMO,REMO,3.2002e+1,4.69e+0,-,pruned_weight十五目标.xlsx,IGD,D8,3.2002e+1 (4.69e+0) -
15,DTLZ7,PIEA,PIEA,2.0981e+1,7.96e+0,-,pruned_weight十五目标.xlsx,IGD,E8,2.0981e+1 (7.96e+0) -
15,DTLZ7,MCEA/D,MCEAD,2.7525e+1,9.12e+0,-,pruned_weight十五目标.xlsx,IGD,F8,2.7525e+1 (9.12e+0) -
15,DTLZ7,CSEA,CSEA,4.3721e+1,4.04e+0,-,pruned_weight十五目标.xlsx,IGD,G8,4.3721e+1 (4.04e+0) -
15,DTLZ7,K-RVEA,KRVEA_100,4.0251e+0,1.45e+0,+,pruned_weight十五目标.xlsx,IGD,H8,4.0251e+0 (1.45e+0) +
15,DTLZ7,PC-SAEA,PCSAEA_N100,4.1544e+1,3.78e+0,-,pruned_weight十五目标.xlsx,IGD,I8,4.1544e+1 (3.78e+0) -
15,DTLZ7,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.3696e+1,1.93e+0,,pruned_weight十五目标.xlsx,IGD,J8,1.3696e+1 (1.93e+0)
15,WFG1,REMO,REMO,4.1496e+0,9.37e-2,-,pruned_weight十五目标.xlsx,IGD,D9,4.1496e+0 (9.37e-2) -
15,WFG1,PIEA,PIEA,4.2469e+0,3.77e-2,-,pruned_weight十五目标.xlsx,IGD,E9,4.2469e+0 (3.77e-2) -
