Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
DTLZ2,10,"S2_(0.25,0.50]",front_final,AUC,score_hybrid,score_v,25,25,0.686380719831267,0.712888566807316,-0.0265078469760495,-0.0312094945689889,-3.22541742773592,0.00742319460587312,0.2,-0.612307692307692,0.0445391676352387,1
DTLZ2,10,"S2_(0.25,0.50]",front_final,AUC,score_hybrid,anchor_margin,25,25,0.686380719831267,0.621888722557626,0.0644919972736409,0.0588304136282076,10.702575868923,6.4509802708292e-05,0.92,0.913846153846154,0.000709607829791212,1
DTLZ2,10,"S2_(0.25,0.50]",front_final,AUC,score_v,anchor_margin,25,25,0.712888566807316,0.621888722557626,0.0909998442496903,0.0872532582927162,15.3285248178842,0.000808376714536398,0.88,0.766153846153846,0.00727539043082759,1
DTLZ2,10,"S2_(0.25,0.50]",front_final,Lift,score_hybrid,score_v,25,25,1.52893456472681,1.60682851812528,-0.0778939533984662,-0.0171899436943244,-3.48563406563443,0.0926305231798479,0.32,-0.384615384615385,0.46315261589924,0
DTLZ2,10,"S2_(0.25,0.50]",front_final,Lift,score_hybrid,anchor_margin,25,25,1.52893456472681,1.25679529622909,0.27213926849772,0.264830032887341,25.0111213247723,0.000808376714536398,0.84,0.766153846153846,0.00889214385990038,1
DTLZ2,10,"S2_(0.25,0.50]",front_final,Lift,score_v,anchor_margin,25,25,1.60682851812528,1.25679529622909,0.350033221896186,0.316507021491587,31.9956122261722,0.000808376714536398,0.84,0.766153846153846,0.00889214385990038,1
DTLZ2,10,"S2_(0.25,0.50]",front_h1,Precision,score_hybrid,score_v,25,25,0.987657142857143,0.990780952380952,-0.00312380952380952,0,-0.316942374120367,0.0220794557567033,0.38,-0.661764705882353,0.111491873814116,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,Precision,score_hybrid,anchor_margin,25,25,0.987657142857143,0.977447619047619,0.0102095238095238,0.00380952380952371,1.09985151529732,0.0589055975445691,0.66,0.443333333333333,0.235622390178276,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,Precision,score_v,anchor_margin,25,25,0.990780952380952,0.977447619047619,0.0133333333333333,0.00380952380952404,1.42208413815715,0.00481349145757652,0.7,0.663333333333333,0.0385079316606121,1
DTLZ2,10,"S2_(0.25,0.50]",front_h1,AUC,score_hybrid,score_v,25,25,0.677245344431354,0.701189596521173,-0.0239442520898191,-0.0374322121114687,-2.80104557705839,0.0346699352823068,0.28,-0.483076923076923,0.208019611693841,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,AUC,score_hybrid,anchor_margin,25,25,0.677245344431354,0.64670804207232,0.0305373023590342,0.0599653939665115,4.08653600626995,0.0578362165685366,0.72,0.433846153846154,0.289181082842683,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,AUC,score_v,anchor_margin,25,25,0.701189596521173,0.64670804207232,0.0544815544488533,0.0791436840206314,7.96757001496556,0.0246574711684664,0.76,0.513846153846154,0.172602298179265,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,Lift,score_hybrid,score_v,25,25,1.04388819099287,1.04764839123654,-0.00376020024367512,0,-0.352877381490586,0.0400548626158021,0.4,-0.526315789473684,0.222260269105149,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,Lift,score_hybrid,anchor_margin,25,25,1.04388819099287,1.02939484721119,0.0144933437816828,0.00579030204883857,1.38290317324328,0.0370433781841915,0.64,0.476923076923077,0.222260269105149,0
DTLZ2,10,"S2_(0.25,0.50]",front_h1,Lift,score_v,anchor_margin,25,25,1.04764839123654,1.02939484721119,0.018253544025358,0.0082431069176282,1.74277230325597,0.00206416568518245,0.76,0.704615384615385,0.0165133254814596,1
