Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,3,11003,"S4_(0.75,1.00]",label_dyn,native,population_h1,retention,H1,21,20,0.56952380952381,0.949794120781225,0.578875767100708,0.942,1.00771794759343,0.571642068254539,0.949794120781225
DTLZ2,10,3,11003,"S4_(0.75,1.00]",label_dyn,native,population_h3,retention,H3,21,18,0.56952380952381,0.865126469635399,0.598705036351998,0.840555555555556,1.02818266332469,0.56398088182397,0.865126469635399
DTLZ2,10,4,11004,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.392,0.103712195844803,0.8,0.05,2.07424391689607,0.714736842105263,NaN
DTLZ2,10,4,11004,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.392,0.969816631889863,0.57733305582249,0.658,1.48738222216257,0.769720899895849,NaN
DTLZ2,10,4,11004,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.392,0.955354594394674,0.590948318338445,0.632,1.5251024652037,0.768729575723292,NaN
DTLZ2,10,4,11004,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.392,0.0518560979224017,0.666666666666667,0.03,1.72853659741339,0.641580756013746,0.0518560979224017
DTLZ2,10,4,11004,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.392,0.995744680851064,0.414893617021277,0.94,1.05930285196922,0.690780141843972,0.995744680851064
DTLZ2,10,4,11004,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.392,0.981282643355874,0.465736115192477,0.824,1.19100236849289,0.709665443217154,0.981282643355874
DTLZ2,10,4,11004,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.445714285714286,0.249253619504535,0.542063470479338,0.202380952380952,1.23527068162937,0.561293222113235,NaN
DTLZ2,10,4,11004,"S2_(0.25,0.50]",label_dyn,native,front_h1,nondominated,H1,21,21,0.445714285714286,0.970652260210874,0.458104908228704,0.948571428571429,1.02636556135614,0.566705588567018,NaN
DTLZ2,10,4,11004,"S2_(0.25,0.50]",label_dyn,native,front_h3,nondominated,H3,21,21,0.445714285714286,0.911982903975536,0.456377532155958,0.892380952380952,1.0231398225317,0.53938992452521,NaN
DTLZ2,10,4,11004,"S2_(0.25,0.50]",label_dyn,native,population_final,retention,FINAL,21,21,0.445714285714286,0.089910574997185,0.552550095407238,0.0690476190476191,1.25899288294287,0.558042821598404,0.089910574997185
DTLZ2,10,4,11004,"S2_(0.25,0.50]",label_dyn,native,population_h1,retention,H1,21,21,0.445714285714286,0.957493207782052,0.454970824972166,0.938095238095238,1.02025450633793,0.588331973332644,0.957493207782052
DTLZ2,10,4,11004,"S2_(0.25,0.50]",label_dyn,native,population_h3,retention,H3,21,21,0.445714285714286,0.884639118349191,0.469257473238329,0.837619047619047,1.05488744542497,0.582316570493973,0.884639118349191
DTLZ2,10,4,11004,"S3_(0.50,0.75]",label_dyn,native,front_final,nondominated,FINAL,20,20,0.4035,0.682979010308589,0.429772412340023,0.6505,1.06542165910156,0.529914233530696,NaN
DTLZ2,10,4,11004,"S3_(0.50,0.75]",label_dyn,native,front_h1,nondominated,H1,20,20,0.4035,0.97771471439723,0.404308135096458,0.9755,1.00249047775223,0.508324961065231,NaN
DTLZ2,10,4,11004,"S3_(0.50,0.75]",label_dyn,native,front_h3,nondominated,H3,20,20,0.4035,0.93570403122501,0.405453499031595,0.932,1.00513278220904,0.499638838499601,NaN
DTLZ2,10,4,11004,"S3_(0.50,0.75]",label_dyn,native,population_final,retention,FINAL,20,20,0.4035,0.367523315723035,0.513105388582648,0.291,1.2761310979655,0.577268985760452,0.367523315723035
DTLZ2,10,4,11004,"S3_(0.50,0.75]",label_dyn,native,population_h1,retention,H1,20,20,0.4035,0.959213288906475,0.414374606954856,0.935,1.02603319916127,0.597879042294167,0.959213288906475
DTLZ2,10,4,11004,"S3_(0.50,0.75]",label_dyn,native,population_h3,retention,H3,20,20,0.4035,0.894692421742674,0.428731491911784,0.842,1.06295943593738,0.582040749625141,0.894692421742674
DTLZ2,10,4,11004,"S4_(0.75,1.00]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.439047619047619,0.940137742794753,0.445749554418524,0.925714285714286,1.01602811119194,0.554896070575093,NaN
DTLZ2,10,4,11004,"S4_(0.75,1.00]",label_dyn,native,front_h1,nondominated,H1,21,20,0.439047619047619,0.993131497757383,0.43503749493177,0.991,1.00223725530138,0.515226846220485,NaN
DTLZ2,10,4,11004,"S4_(0.75,1.00]",label_dyn,native,front_h3,nondominated,H3,21,18,0.439047619047619,0.976388323014368,0.424778496387626,0.971111111111111,1.00561863582998,0.518863499456135,NaN
DTLZ2,10,4,11004,"S4_(0.75,1.00]",label_dyn,native,population_final,retention,FINAL,21,21,0.439047619047619,0.724477863266527,0.466128340432963,0.69,1.06510618420411,0.524303241999253,0.724477863266527
DTLZ2,10,4,11004,"S4_(0.75,1.00]",label_dyn,native,population_h1,retention,H1,21,20,0.439047619047619,0.967082173130671,0.43945319362883,0.955,1.01277320950668,0.572770427983246,0.967082173130671
DTLZ2,10,4,11004,"S4_(0.75,1.00]",label_dyn,native,population_h3,retention,H3,21,18,0.439047619047619,0.90805369418532,0.436438738747081,0.878888888888889,1.03373897860515,0.556565441420593,0.90805369418532
DTLZ2,10,5,11005,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.37,0.310809062943209,0.676965811965812,0.17,1.83668286069201,0.68514216346218,NaN
DTLZ2,10,5,11005,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.37,0.892369773162456,0.490369746212894,0.674,1.32634917740334,0.684985828561053,NaN
DTLZ2,10,5,11005,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.37,0.816974790755278,0.515613948198694,0.588,1.39076156399624,0.676163096296933,NaN
DTLZ2,10,5,11005,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.37,0.0582912774985946,0.45,0.048,1.19612858027492,0.54219298245614,0.0582912774985946
DTLZ2,10,5,11005,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.37,0.990360046457607,0.394480810343072,0.93,1.06549624639511,0.672240405171536,0.990360046457607
DTLZ2,10,5,11005,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.37,0.963015781460903,0.442505897091327,0.808,1.19288321177354,0.685341839250687,0.963015781460903
DTLZ2,10,5,11005,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.487142857142857,0.619125100839165,0.658867065510333,0.466666666666667,1.37146384126485,0.656401081133018,NaN
DTLZ2,10,5,11005,"S2_(0.25,0.50]",label_dyn,native,front_h1,nondominated,H1,21,21,0.487142857142857,0.978605491203645,0.520688504678709,0.922857142857143,1.07460199141209,0.674358570781039,NaN
DTLZ2,10,5,11005,"S2_(0.25,0.50]",label_dyn,native,front_h3,nondominated,H3,21,21,0.487142857142857,0.970135693916431,0.523347622079706,0.90952380952381,1.08176981745601,0.619316814589497,NaN
DTLZ2,10,5,11005,"S2_(0.25,0.50]",label_dyn,native,population_final,retention,FINAL,21,21,0.487142857142857,0.124546789631723,0.561815565386994,0.107142857142857,1.16951966324804,0.541601212323746,0.124546789631723
DTLZ2,10,5,11005,"S2_(0.25,0.50]",label_dyn,native,population_h1,retention,H1,21,21,0.487142857142857,0.960103483433965,0.499800608248634,0.933333333333333,1.02878751446601,0.596462868544024,0.960103483433965
DTLZ2,10,5,11005,"S2_(0.25,0.50]",label_dyn,native,population_h3,retention,H3,21,21,0.487142857142857,0.885505115371471,0.515861042649118,0.828571428571429,1.06828000674222,0.58810495952089,0.885505115371471
DTLZ2,10,5,11005,"S3_(0.50,0.75]",label_dyn,native,front_final,nondominated,FINAL,20,20,0.5215,0.823277984298116,0.579863014869927,0.7385,1.116189982669,0.618772877689549,NaN
DTLZ2,10,5,11005,"S3_(0.50,0.75]",label_dyn,native,front_h1,nondominated,H1,20,20,0.5215,0.995707819882038,0.524221857752786,0.99,1.00595421772944,0.599579000609928,NaN
DTLZ2,10,5,11005,"S3_(0.50,0.75]",label_dyn,native,front_h3,nondominated,H3,20,20,0.5215,0.987262892276193,0.527439592677646,0.9755,1.01250807346552,0.576612458811314,NaN
DTLZ2,10,5,11005,"S3_(0.50,0.75]",label_dyn,native,population_final,retention,FINAL,20,20,0.5215,0.352515303583663,0.585690974096585,0.3115,1.13462309333829,0.549143874581138,0.352515303583663
DTLZ2,10,5,11005,"S3_(0.50,0.75]",label_dyn,native,population_h1,retention,H1,20,20,0.5215,0.948173112831049,0.522483213134853,0.9455,1.00329445202144,0.485610187333066,0.948173112831049
DTLZ2,10,5,11005,"S3_(0.50,0.75]",label_dyn,native,population_h3,retention,H3,20,20,0.5215,0.845855346902874,0.520490879084984,0.8445,1.00205373970875,0.492332941879524,0.845855346902874
DTLZ2,10,5,11005,"S4_(0.75,1.00]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.593333333333333,0.936971463827253,0.594299829216468,0.931904761904762,1.00724647151758,0.425899637107956,NaN
DTLZ2,10,5,11005,"S4_(0.75,1.00]",label_dyn,native,front_h1,nondominated,H1,21,20,0.593333333333333,0.997699679936706,0.592128823989815,0.9945,1.00342275218063,0.587731000600971,NaN
DTLZ2,10,5,11005,"S4_(0.75,1.00]",label_dyn,native,front_h3,nondominated,H3,21,18,0.593333333333333,0.988419453323339,0.583698594273295,0.981111111111111,1.00763725438254,0.609174784749485,NaN
DTLZ2,10,5,11005,"S4_(0.75,1.00]",label_dyn,native,population_final,retention,FINAL,21,21,0.593333333333333,0.635485204947162,0.587579739863342,0.641428571428571,0.989551885393346,0.496077030724137,0.635485204947162
DTLZ2,10,5,11005,"S4_(0.75,1.00]",label_dyn,native,population_h1,retention,H1,21,20,0.593333333333333,0.949113654913543,0.593979026084679,0.9415,1.00862552807916,0.50564967465265,0.949113654913543
DTLZ2,10,5,11005,"S4_(0.75,1.00]",label_dyn,native,population_h3,retention,H3,21,18,0.593333333333333,0.867618465600992,0.585418142514947,0.858888888888889,1.0109382635596,0.511648379999414,0.867618465600992
DTLZ2,10,6,11006,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.392,0.490501253132832,0.453913979331181,0.424,1.15759372562967,0.553600567520213,NaN
DTLZ2,10,6,11006,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.392,0.978947368421053,0.408041553401728,0.944,1.03919460083852,0.564020776700864,NaN
DTLZ2,10,6,11006,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.392,0.9481328320802,0.406910309933934,0.916,1.03643593951859,0.564294593306405,NaN
DTLZ2,10,6,11006,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.392,0.281328320802005,0.620639834881321,0.178,1.5832848374807,0.638910970104475,0.281328320802005
DTLZ2,10,6,11006,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.392,0.978947368421053,0.406870567375887,0.944,1.03711739455021,0.628435283687943,0.978947368421053
DTLZ2,10,6,11006,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.392,0.937606516290727,0.433237189524171,0.85,1.10355452440374,0.634545765630433,0.937606516290727
DTLZ2,10,6,11006,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.500476190476191,0.687149724494018,0.587626249196572,0.586190476190476,1.17875016178064,0.60770331417504,NaN
