Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,population_h1,retention,H1,5,5,0.25,0.992,0.262732362821949,0.944,1.05092945128779,0.647400522583053,0.992
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,population_h3,retention,H3,5,5,0.25,0.96,0.276662333285185,0.868,1.10664933314074,0.660876185661322,0.96
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.524,0.118211495124366,0.605454545454545,0.102,1.15614092526963,0.545461355124276,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.524,0.969895853078073,0.580070863297166,0.876,1.10918970579679,0.723210034823186,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.524,0.9468719066574,0.581145355144961,0.854,1.11172232546526,0.700088227811715,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.524,0.068656936458794,0.72,0.05,1.37313872917588,0.603157894736842,0.068656936458794
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.524,0.98140782628841,0.544456886898096,0.944,1.03965550385888,0.682228443449048,0.98140782628841
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.524,0.943140414060361,0.569107804901536,0.868,1.0871011257287,0.671161045307911,0.943140414060361
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,front_final,nondominated,FINAL,5,5,0.25,0.184,0.449090909090909,0.102,1.79636363636364,0.716038588128476,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,front_h1,nondominated,H1,5,5,0.25,1,0.286066033751807,0.876,1.14426413500723,0.924425553208003,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,front_h3,nondominated,H3,5,5,0.25,1,0.294166122916369,0.854,1.17666449166548,0.895624887789164,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,population_final,retention,FINAL,5,5,0.25,0.12,0.6,0.05,2.4,0.761684210526316,0.12
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,population_h1,retention,H1,5,5,0.25,1,0.264837625979843,0.944,1.05935050391937,0.851203434117208,1
DTLZ2,10,2,11002,"S1_[0,0.25]",score_hybrid,top25,population_h3,retention,H3,5,5,0.25,1,0.288290240261929,0.868,1.15316096104772,0.849653479946074,1
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,front_final,nondominated,FINAL,5,5,0.25,0.248,0.607272727272727,0.102,2.42909090909091,0.818805129951197,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,front_h1,nondominated,H1,5,5,0.25,0.992,0.283740452356458,0.876,1.13496180942583,0.95984145662299,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,front_h3,nondominated,H3,5,5,0.25,0.992,0.2916969871139,0.854,1.1667879484556,0.93827928576906,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,population_final,retention,FINAL,5,5,0.25,0.12,0.6,0.05,2.4,0.776,0.12
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,population_h1,retention,H1,5,5,0.25,0.992,0.262732362821949,0.944,1.05092945128779,0.880147069802165,0.992
DTLZ2,10,2,11002,"S1_[0,0.25]",score_v,top25,population_h3,retention,H3,5,5,0.25,0.992,0.28596465886658,0.868,1.14385863546632,0.894748332851847,0.992
DTLZ2,10,2,11002,"S2_(0.25,0.50]",anchor_margin,top25,front_final,nondominated,FINAL,21,21,0.25,0.276190476190476,0.299578230248168,0.236666666666667,1.19831292099267,0.557517339669805,NaN
