run_global,problem,M,run_id,gen,p_err,prev_p_err,coverage,degeneracy,mean_conf,relation_mode,candidate_mode
2,DTLZ1,10,10,13,0.482562277580071,0.222064056939502,0.181818181818182,0.3,0.619685321332832,weighted,conservative
2,DTLZ1,10,10,14,0.0922222222222222,0.482562277580071,0.181818181818182,0.3,0.629645928421483,curriculum,explore
2,DTLZ1,10,10,15,0.261921708185053,0.0922222222222222,0.178321678321678,0.3,0.619687633245754,weighted,explore
2,DTLZ1,10,10,16,0.363701067615658,0.261921708185053,0.178321678321678,0.3,0.619682337784835,weighted,conservative
2,DTLZ1,10,10,17,0.0911111111111111,0.363701067615658,0.171328671328671,0.3,0.619691020726985,curriculum,explore
2,DTLZ1,10,10,18,0.230604982206406,0.0911111111111111,0.167832167832168,0.3,0.599761439037168,weighted,explore
2,DTLZ1,10,10,19,0.0284697508896797,0.230604982206406,0.171328671328671,0.3,0.50014155994452,conservative,explore
2,DTLZ1,10,10,20,0.0192170818505338,0.0284697508896797,0.174825174825175,0.3,0.440341526475748,conservative,explore
2,DTLZ1,10,10,21,0.0818505338078292,0.0192170818505338,0.178321678321678,0.3,0.500191302060166,conservative,explore
2,DTLZ1,10,10,22,0.0213523131672598,0.0818505338078292,0.181818181818182,0.3,0.380658055634958,conservative,explore
2,DTLZ1,10,10,23,0.0661921708185053,0.0213523131672598,0.174825174825175,0.3,0.410415366676062,conservative,explore
2,DTLZ1,10,10,24,0.0135231316725979,0.0661921708185053,0.171328671328671,0.3,0.420381196008967,conservative,explore
2,DTLZ1,10,10,25,0.0498220640569395,0.0135231316725979,0.171328671328671,0.3,0.49019191446541,conservative,explore
2,DTLZ1,10,10,26,0.0362989323843416,0.0498220640569395,0.178321678321678,0.3,0.380541762311678,conservative,explore
2,DTLZ1,10,10,27,0.0512455516014235,0.0362989323843416,0.178321678321678,0.3,0.4603445292598,conservative,explore
2,DTLZ1,10,10,28,0.0298932384341637,0.0512455516014235,0.192307692307692,0.3,0.380654914631065,conservative,explore
2,DTLZ1,10,10,29,0.0370106761565836,0.0298932384341637,0.195804195804196,0.3,0.530056382754775,conservative,explore
2,DTLZ1,10,10,30,0.0341637010676157,0.0370106761565836,0.195804195804196,0.3,0.540024948599243,conservative,explore
2,DTLZ1,10,10,31,0.0540925266903915,0.0341637010676157,0.195804195804196,0.3,0.420413718781946,conservative,explore
2,DTLZ1,10,10,32,0.0284697508896797,0.0540925266903915,0.188811188811189,0.3,0.480240419938395,conservative,explore
2,DTLZ1,10,10,33,0.0412811387900356,0.0284697508896797,0.188811188811189,0.3,0.480240419938395,conservative,explore
2,DTLZ1,10,10,34,0.0491103202846975,0.0412811387900356,0.195804195804196,0.3,0.460360179895331,conservative,explore
3,DTLZ1,10,2,1,0.0211111111111111,1,0.153846153846154,0.4,0.599958766781415,curriculum,explore
3,DTLZ1,10,2,2,0.00498220640569395,0.0211111111111111,0.160839160839161,0.4,0.609889125632169,weighted,explore
3,DTLZ1,10,2,3,0.0227758007117438,0.00498220640569395,0.160839160839161,0.4,0.669682624197273,weighted,explore
3,DTLZ1,10,2,4,0.113167259786477,0.0227758007117438,0.153846153846154,0.3,0.659730092221446,weighted,explore
3,DTLZ1,10,2,5,0.140213523131673,0.113167259786477,0.157342657342657,0.3,0.649753038757063,weighted,explore
3,DTLZ1,10,2,6,0.158718861209964,0.140213523131673,0.178321678321678,0.3,0.609872963937468,weighted,explore
3,DTLZ1,10,2,7,0.0142348754448399,0.158718861209964,0.167832167832168,0.3,0.470310482986204,conservative,explore
3,DTLZ1,10,2,8,0.0113879003558719,0.0142348754448399,0.167832167832168,0.3,0.440403069104999,conservative,explore
3,DTLZ1,10,2,9,0.18220640569395,0.0113879003558719,0.167832167832168,0.3,0.699557623787826,weighted,explore
3,DTLZ1,10,2,10,0.131672597864769,0.18220640569395,0.164335664335664,0.3,0.579971208788251,weighted,explore
3,DTLZ1,10,2,11,0.205693950177936,0.131672597864769,0.167832167832168,0.3,0.629828809828521,weighted,explore
3,DTLZ1,10,2,12,0.0462633451957295,0.205693950177936,0.171328671328671,0.3,0.639786535915753,weighted,explore
3,DTLZ1,10,2,13,0.262633451957295,0.0462633451957295,0.167832167832168,0.3,0.679561342381042,weighted,explore
3,DTLZ1,10,2,14,0.186476868327402,0.262633451957295,0.178321678321678,0.3,0.629695269683772,weighted,explore
3,DTLZ1,10,2,15,0.0854092526690391,0.186476868327402,0.174825174825175,0.4,0.559987505091534,weighted,explore
3,DTLZ1,10,2,16,0.132384341637011,0.0854092526690391,0.171328671328671,0.3,0.599802498184185,weighted,explore
3,DTLZ1,10,2,17,0.0604982206405694,0.132384341637011,0.174825174825175,0.3,0.619760275279469,weighted,explore
3,DTLZ1,10,2,18,0.0896797153024911,0.0604982206405694,0.178321678321678,0.3,0.60979137344986,weighted,explore
3,DTLZ1,10,2,19,0.35729537366548,0.0896797153024911,0.171328671328671,0.3,0.629710973710939,weighted,conservative
3,DTLZ1,10,2,20,0.0177777777777778,0.35729537366548,0.167832167832168,0.3,0.639655074129926,curriculum,explore
3,DTLZ1,10,2,21,0.248398576512456,0.0177777777777778,0.167832167832168,0.3,0.679466071838897,weighted,explore
3,DTLZ1,10,2,22,0.0911032028469751,0.248398576512456,0.174825174825175,0.3,0.689396934958005,weighted,explore
