run_global,problem,M,D,N,maxFE,final_FE,total_gen,skip_gen,eval_gen,rel_conservative_cnt,rel_curriculum_cnt,rel_weighted_cnt,rel_conservative_ratio,rel_curriculum_ratio,rel_weighted_ratio,cand_conservative_cnt,cand_explore_cnt,cand_indicator_cnt,cand_conservative_ratio,cand_explore_ratio,cand_indicator_ratio
98,WFG3,20,31,100,300,300,34,0,34,31,1,2,0.911764705882353,0.0294117647058824,0.0588235294117647,0,0,34,0,0,1
99,WFG3,20,31,100,300,300,34,0,34,18,1,15,0.529411764705882,0.0294117647058824,0.441176470588235,0,0,34,0,0,1
100,WFG3,20,31,100,300,300,34,0,34,29,1,4,0.852941176470588,0.0294117647058824,0.117647058823529,0,0,34,0,0,1
101,WFG4,10,30,100,300,300,34,0,34,16,1,17,0.470588235294118,0.0294117647058824,0.5,0,0,34,0,0,1
102,WFG4,10,30,100,300,300,34,0,34,10,2,22,0.294117647058824,0.0588235294117647,0.647058823529412,1,0,33,0.0294117647058824,0,0.970588235294118
103,WFG4,10,30,100,300,300,34,0,34,11,2,21,0.323529411764706,0.0588235294117647,0.617647058823529,1,0,33,0.0294117647058824,0,0.970588235294118
104,WFG4,10,30,100,300,300,34,0,34,7,1,26,0.205882352941176,0.0294117647058824,0.764705882352941,0,25,9,0,0.735294117647059,0.264705882352941
105,WFG4,10,30,100,300,300,34,0,34,11,1,22,0.323529411764706,0.0294117647058824,0.647058823529412,0,20,14,0,0.588235294117647,0.411764705882353
106,WFG4,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,16,18,0,0.470588235294118,0.529411764705882
107,WFG4,10,30,100,300,300,34,0,34,17,1,16,0.5,0.0294117647058824,0.470588235294118,0,0,34,0,0,1
108,WFG4,10,30,100,300,300,34,0,34,3,2,29,0.0882352941176471,0.0588235294117647,0.852941176470588,1,10,23,0.0294117647058824,0.294117647058824,0.676470588235294
109,WFG4,10,30,100,300,300,34,0,34,1,2,31,0.0294117647058824,0.0588235294117647,0.911764705882353,1,23,10,0.0294117647058824,0.676470588235294,0.294117647058824
110,WFG4,10,30,100,300,300,34,0,34,13,1,20,0.382352941176471,0.0294117647058824,0.588235294117647,0,0,34,0,0,1
111,WFG4,20,30,100,300,300,34,0,34,3,1,30,0.0882352941176471,0.0294117647058824,0.882352941176471,0,0,34,0,0,1
112,WFG4,20,30,100,300,300,34,0,34,2,2,30,0.0588235294117647,0.0588235294117647,0.882352941176471,1,0,33,0.0294117647058824,0,0.970588235294118
113,WFG4,20,30,100,300,300,34,0,34,1,2,31,0.0294117647058824,0.0588235294117647,0.911764705882353,1,0,33,0.0294117647058824,0,0.970588235294118
114,WFG4,20,30,100,300,300,34,0,34,4,2,28,0.117647058823529,0.0588235294117647,0.823529411764706,1,0,33,0.0294117647058824,0,0.970588235294118
115,WFG4,20,30,100,300,300,34,0,34,1,1,32,0.0294117647058824,0.0294117647058824,0.941176470588235,0,0,34,0,0,1
116,WFG4,20,30,100,300,300,34,0,34,6,2,26,0.176470588235294,0.0588235294117647,0.764705882352941,1,0,33,0.0294117647058824,0,0.970588235294118
117,WFG4,20,30,100,300,300,34,0,34,2,1,31,0.0588235294117647,0.0294117647058824,0.911764705882353,0,0,34,0,0,1
118,WFG4,20,30,100,300,300,35,0,35,0,6,29,0,0.171428571428571,0.828571428571429,5,0,30,0.142857142857143,0,0.857142857142857
119,WFG4,20,30,100,300,300,34,0,34,1,2,31,0.0294117647058824,0.0588235294117647,0.911764705882353,1,0,33,0.0294117647058824,0,0.970588235294118
120,WFG4,20,30,100,300,300,34,0,34,2,1,31,0.0588235294117647,0.0294117647058824,0.911764705882353,0,0,34,0,0,1
121,WFG6,10,30,100,300,300,34,0,34,10,1,23,0.294117647058824,0.0294117647058824,0.676470588235294,0,34,0,0,1,0
122,WFG6,10,30,100,300,300,34,0,34,12,1,21,0.352941176470588,0.0294117647058824,0.617647058823529,0,34,0,0,1,0
