target,comparator,problem,nx,ny,meanTarget,sdTarget,meanComparator,sdComparator,relativePercent,pDefault,pExact,pHolm,delta,ciLow,ciHigh
Original,R2AEA,DTLZ4,18,18,1.18140163836223,0.112407690111937,1.59438287282215,0.0719770225124859,-25.9022623423517,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,R2AEA,DTLZ5,18,18,0.660490949449532,0.146716396018774,0.986503380831387,0.0839487730175508,-33.0472695498625,3.56842797339382e-06,1.50741554233357e-07,1.80889865080028e-06,0.907407407407407,NaN,NaN
Original,R2AEA,DTLZ6,18,18,14.4627761588161,1.10041401867656,13.1160625307091,1.22443782698683,10.2676670300552,0.00342721833348266,0.00264198286939039,0.0132099143469519,-0.574074074074074,NaN,NaN
Original,R2AEA,DTLZ7,18,18,12.1224186786928,2.79769106766626,6.2038006260669,1.2240256902004,95.4030989931757,1.01780894191117e-06,9.91720751535242e-09,1.28923697699581e-07,-0.95679012345679,NaN,NaN
Original,R2AEA,WFG1,18,18,3.19333303922972,0.0279456898540895,3.19860100670331,0.0320338388115114,-0.164695986231012,0.715974579889198,0.719269475133886,1,0.0740740740740741,NaN,NaN
Original,R2AEA,WFG2,18,18,2.12110405700194,0.682247407909086,2.24694780209254,0.11252713068665,-5.60065280436852,0.00132127687399942,0.000865276576096888,0.00580553063489863,0.62962962962963,NaN,NaN
Original,R2AEA,WFG3,18,18,1.70062941382868,0.0586852565136405,1.59462260247281,0.0499032772405808,6.64776801680151,4.8360388489192e-06,2.67103455746825e-07,2.93813801321508e-06,-0.895061728395062,NaN,NaN
Original,R2AEA,WFG4,18,18,6.63109836013158,0.638103652186272,5.79009419898712,0.315997758245734,14.5248787367151,0.000156317256624751,5.81106487745698e-05,0.000522995838971128,-0.740740740740741,NaN,NaN
Original,R2AEA,WFG5,18,18,5.9731534798388,0.400046196839542,6.58342537857842,0.462462077020265,-9.26982328569198,0.000329435547802067,0.000154764634748751,0.00123811707799001,0.703703703703704,NaN,NaN
Original,R2AEA,WFG6,18,18,5.27730383420541,0.200568344522488,5.2559601586051,0.131510868257832,0.406085186269256,0.787985013527637,0.79054385580345,1,-0.0555555555555556,NaN,NaN
Original,R2AEA,WFG7,18,18,5.29686401257078,0.256666300626559,6.48747458530402,0.408969669386242,-18.3524506659387,4.5031440384509e-07,8.81529556920215e-10,1.2341413796883e-08,0.987654320987654,NaN,NaN
Original,R2AEA,WFG8,18,18,5.69304894544652,0.266258656169107,5.56014465975903,0.119022534904456,2.39030265973779,0.103230930200371,0.103751654259083,0.415006617036332,-0.320987654320988,NaN,NaN
Original,R2AEA,WFG9,18,18,6.37876242221186,0.610608211373356,6.44121844736466,0.315442294020516,-0.969630601153537,0.289193237248691,0.293092740997481,0.879278222992444,0.209876543209877,NaN,NaN
Original,CSEA,DTLZ1,18,18,229.442633877168,36.1591837097623,222.807188054798,49.56874867645,2.97811120022626,0.936955867669958,0.937750147703032,0.937750147703032,-0.0185185185185185,NaN,NaN
Original,CSEA,DTLZ2,18,18,1.09462722154827,0.0887966235865311,1.32286194210369,0.0980676220056781,-17.2531020275984,3.56842797339382e-06,1.50741554233357e-07,1.35667398810021e-06,0.907407407407407,NaN,NaN
Original,CSEA,DTLZ3,18,18,939.186001876187,139.879031402938,900.824962309499,172.42030366956,4.25843434315354,0.303830130087844,0.307873328786624,0.754730073941707,-0.203703703703704,NaN,NaN
Original,CSEA,DTLZ4,18,18,1.18140163836223,0.112407690111937,1.21975733169913,0.0815524990835068,-3.14453476442458,0.248168693806701,0.251576691313902,0.754730073941707,0.228395061728395,NaN,NaN
Original,CSEA,DTLZ5,18,18,0.660490949449532,0.146716396018774,0.764154774571636,0.106508409478122,-13.5658152735112,0.0169074450976378,0.015572731130521,0.062290924522084,0.469135802469136,NaN,NaN
Original,CSEA,DTLZ6,18,18,14.4627761588161,1.10041401867656,16.0639024153397,0.68113022192297,-9.96723096994587,2.08683374614259e-05,3.16645416845741e-06,2.53316333476593e-05,0.833333333333333,NaN,NaN
