[Gen   6 | FE= 148/ 300] p_err=0.227 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.178 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.179 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.218 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.337 I+=0.337 MD=0.326] | Lp=1.60 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.134 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.337 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.228 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.191 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.175 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.176 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.337 I+=0.337 MD=0.327] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.253 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.337 I+=0.337 MD=0.326] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.237 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.117 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.230 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.219 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.205 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
