Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 2 workers.
Pool has 2 workers; this runner uses at most 2.
[234/2208] KRVEA_100 DTLZ7 M10 run 24 FE=300 IGD=1.606529 saved
[235/2208] KRVEA_100 DTLZ7 M10 run 26 FE=300 IGD=1.5810695 saved
[236/2208] KRVEA_100 DTLZ7 M10 run 25 FE=300 IGD=1.660562 saved
[237/2208] KRVEA_100 DTLZ7 M10 run 28 FE=300 IGD=1.4920068 saved
[238/2208] KRVEA_100 DTLZ7 M10 run 27 FE=300 IGD=1.8614747 saved
[239/2208] KRVEA_100 DTLZ7 M10 run 30 FE=300 IGD=1.4162768 saved
[240/2208] KRVEA_100 DTLZ7 M10 run 29 FE=300 IGD=1.6068636 saved
[241/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 20 FE=300 IGD=8.6838421 saved
[242/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 19 FE=300 IGD=9.5260327 saved
[243/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 21 FE=300 IGD=9.9004118 saved
[244/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 22 FE=300 IGD=8.3848811 saved
[245/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 24 FE=300 IGD=8.0646592 saved
[246/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 23 FE=300 IGD=6.5926701 saved
[247/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 25 FE=300 IGD=7.6182651 saved
[248/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M10 run 26 FE=300 IGD=7.4689648 saved
