problem,M,run,stage,ratio,variant,mean_conf,gate_weighted,delta_mean_conf,spearman_vs_base,jaccard_vs_base
DTLZ2,10,1,3,0.666666666666667,de_wfg,0.648269924407403,1,0.198073499845025,-0.257833783378338,0.612903225806452
DTLZ2,10,1,3,0.666666666666667,minmax,0.521815804110202,0,0.0716193795478244,-0.196699669966997,0.612903225806452
DTLZ2,10,1,4,0.833333333333333,base,0.466334824248718,0,0,1,1
DTLZ2,10,1,4,0.833333333333333,x0.1,0.626171522077729,1,0.15983669782901,-0.326732673267327,1
DTLZ2,10,1,4,0.833333333333333,x10,0.351236301516986,0,-0.115098522731733,1,1
DTLZ2,10,1,4,0.833333333333333,x100,0.332248604902908,0,-0.13408621934581,1,1
DTLZ2,10,1,4,0.833333333333333,wfg_style,0.399922238232833,0,-0.0664125860158856,0.522016201620162,0.25
DTLZ2,10,1,4,0.833333333333333,de_wfg,0.664840367530587,1,0.198505543281869,-0.34034203420342,0.470588235294118
DTLZ2,10,1,4,0.833333333333333,minmax,0.52433182885965,0,0.0579970046109314,-0.0868406840684069,0.612903225806452
DTLZ2,10,1,5,1,base,0.489295768822924,0,0,1,1
DTLZ2,10,1,5,1,x0.1,0.610964340679634,1,0.12166857185671,-0.382538253825383,1
DTLZ2,10,1,5,1,x10,0.382024006985921,0,-0.107271761837003,1,1
DTLZ2,10,1,5,1,x100,0.362368344913685,0,-0.126927423909239,1,1
DTLZ2,10,1,5,1,wfg_style,0.352268804184878,0,-0.137026964638046,0.437263726372637,0.785714285714286
DTLZ2,10,1,5,1,de_wfg,0.618259453350673,1,0.128963684527749,-0.419393939393939,0.851851851851852
DTLZ2,10,1,5,1,minmax,0.511007088511833,0,0.0217113196889084,-0.200744074407441,1
DTLZ2,20,1,1,0.333333333333333,base,0.53874425175035,0,0,1,1
DTLZ2,20,1,1,0.333333333333333,x0.1,0.532224060191693,0,-0.00652019155865657,-0.5001500150015,1
