M,problem,algorithm,source_algorithm,mean,std,symbol,source_file,source_sheet,source_cell,raw
10,WFG4,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,6.6311e+0,6.38e-1,,10目标.xlsx,IGD,M12,6.6311e+0 (6.38e-1)
10,WFG5,REMO,REMO,6.9444e+0,5.14e-1,-,10目标.xlsx,IGD,F13,6.9444e+0 (5.14e-1) -
10,WFG5,PIEA,PIEA,5.7544e+0,2.59e-1,=,10目标.xlsx,IGD,G13,5.7544e+0 (2.59e-1) =
10,WFG5,MCEA/D,MCEAD,6.6193e+0,3.95e-1,-,10目标.xlsx,IGD,H13,6.6193e+0 (3.95e-1) -
10,WFG5,CSEA,CSEA,7.1022e+0,4.09e-1,-,10目标.xlsx,IGD,J13,7.1022e+0 (4.09e-1) -
10,WFG5,PC-SAEA,PCSAEA_N100,6.9282e+0,3.32e-1,-,10目标.xlsx,IGD,K13,6.9282e+0 (3.32e-1) -
10,WFG5,K-RVEA,KRVEA_100,5.1210e+0,5.51e-1,+,10目标.xlsx,IGD,L13,5.1210e+0 (5.51e-1) +
10,WFG5,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,5.9732e+0,4.00e-1,,10目标.xlsx,IGD,M13,5.9732e+0 (4.00e-1)
10,WFG6,REMO,REMO,6.4255e+0,4.79e-1,-,10目标.xlsx,IGD,F14,6.4255e+0 (4.79e-1) -
10,WFG6,PIEA,PIEA,5.9360e+0,4.03e-1,-,10目标.xlsx,IGD,G14,5.9360e+0 (4.03e-1) -
10,WFG6,MCEA/D,MCEAD,7.2512e+0,6.73e-1,-,10目标.xlsx,IGD,H14,7.2512e+0 (6.73e-1) -
10,WFG6,CSEA,CSEA,7.4553e+0,5.14e-1,-,10目标.xlsx,IGD,J14,7.4553e+0 (5.14e-1) -
10,WFG6,PC-SAEA,PCSAEA_N100,7.3056e+0,3.17e-1,-,10目标.xlsx,IGD,K14,7.3056e+0 (3.17e-1) -
10,WFG6,K-RVEA,KRVEA_100,5.0192e+0,2.25e-1,+,10目标.xlsx,IGD,L14,5.0192e+0 (2.25e-1) +
10,WFG6,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,5.2773e+0,2.01e-1,,10目标.xlsx,IGD,M14,5.2773e+0 (2.01e-1)
10,WFG7,REMO,REMO,6.2812e+0,7.42e-1,-,10目标.xlsx,IGD,F15,6.2812e+0 (7.42e-1) -
10,WFG7,PIEA,PIEA,6.9139e+0,5.04e-1,-,10目标.xlsx,IGD,G15,6.9139e+0 (5.04e-1) -
10,WFG7,MCEA/D,MCEAD,8.1581e+0,6.29e-1,-,10目标.xlsx,IGD,H15,8.1581e+0 (6.29e-1) -
10,WFG7,CSEA,CSEA,7.3904e+0,6.15e-1,-,10目标.xlsx,IGD,J15,7.3904e+0 (6.15e-1) -
10,WFG7,PC-SAEA,PCSAEA_N100,7.5467e+0,3.59e-1,-,10目标.xlsx,IGD,K15,7.5467e+0 (3.59e-1) -
10,WFG7,K-RVEA,KRVEA_100,6.3642e+0,5.65e-1,-,10目标.xlsx,IGD,L15,6.3642e+0 (5.65e-1) -
10,WFG7,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,5.2969e+0,2.57e-1,,10目标.xlsx,IGD,M15,5.2969e+0 (2.57e-1)
10,WFG8,REMO,REMO,7.0559e+0,5.06e-1,-,10目标.xlsx,IGD,F16,7.0559e+0 (5.06e-1) -
10,WFG8,PIEA,PIEA,6.3573e+0,4.99e-1,-,10目标.xlsx,IGD,G16,6.3573e+0 (4.99e-1) -
10,WFG8,MCEA/D,MCEAD,7.4671e+0,4.72e-1,-,10目标.xlsx,IGD,H16,7.4671e+0 (4.72e-1) -
10,WFG8,CSEA,CSEA,7.7877e+0,3.46e-1,-,10目标.xlsx,IGD,J16,7.7877e+0 (3.46e-1) -
10,WFG8,PC-SAEA,PCSAEA_N100,7.3853e+0,3.61e-1,-,10目标.xlsx,IGD,K16,7.3853e+0 (3.61e-1) -
10,WFG8,K-RVEA,KRVEA_100,6.0801e+0,5.30e-1,-,10目标.xlsx,IGD,L16,6.0801e+0 (5.30e-1) -
10,WFG8,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,5.6930e+0,2.66e-1,,10目标.xlsx,IGD,M16,5.6930e+0 (2.66e-1)
10,WFG9,REMO,REMO,7.6476e+0,7.61e-1,-,10目标.xlsx,IGD,F17,7.6476e+0 (7.61e-1) -
10,WFG9,PIEA,PIEA,5.7930e+0,3.72e-1,+,10目标.xlsx,IGD,G17,5.7930e+0 (3.72e-1) +
10,WFG9,MCEA/D,MCEAD,7.0825e+0,6.96e-1,-,10目标.xlsx,IGD,H17,7.0825e+0 (6.96e-1) -
10,WFG9,CSEA,CSEA,8.1835e+0,3.07e-1,-,10目标.xlsx,IGD,J17,8.1835e+0 (3.07e-1) -
10,WFG9,PC-SAEA,PCSAEA_N100,7.8737e+0,3.44e-1,-,10目标.xlsx,IGD,K17,7.8737e+0 (3.44e-1) -
10,WFG9,K-RVEA,KRVEA_100,6.5719e+0,7.57e-1,=,10目标.xlsx,IGD,L17,6.5719e+0 (7.57e-1) =
10,WFG9,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,6.3788e+0,6.11e-1,,10目标.xlsx,IGD,M17,6.3788e+0 (6.11e-1)
15,DTLZ1,REMO,REMO,1.2872e+2,2.98e+1,=,15目标.xlsx,IGD,D2,1.2872e+2 (2.98e+1) =
15,DTLZ1,PIEA,PIEA,1.6403e+2,4.10e+1,=,15目标.xlsx,IGD,E2,1.6403e+2 (4.10e+1) =
15,DTLZ1,MCEA/D,MCEAD,1.4557e+2,3.25e+1,=,15目标.xlsx,IGD,F2,1.4557e+2 (3.25e+1) =
15,DTLZ1,CSEA,CSEA,1.4208e+2,3.08e+1,=,15目标.xlsx,IGD,G2,1.4208e+2 (3.08e+1) =
15,DTLZ1,K-RVEA,KRVEA_100,1.5729e+2,2.09e+1,=,15目标.xlsx,IGD,I2,1.5729e+2 (2.09e+1) =
15,DTLZ1,PC-SAEA,PCSAEA_N100,2.4558e+2,3.66e+1,-,15目标.xlsx,IGD,J2,2.4558e+2 (3.66e+1) -
15,DTLZ1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.4434e+2,2.69e+1,,15目标.xlsx,IGD,K2,1.4434e+2 (2.69e+1)
15,DTLZ2,REMO,REMO,1.0911e+0,6.05e-2,=,15目标.xlsx,IGD,D3,1.0911e+0 (6.05e-2) =
15,DTLZ2,PIEA,PIEA,1.0929e+0,3.99e-2,=,15目标.xlsx,IGD,E3,1.0929e+0 (3.99e-2) =
15,DTLZ2,MCEA/D,MCEAD,1.1489e+0,3.01e-2,-,15目标.xlsx,IGD,F3,1.1489e+0 (3.01e-2) -
15,DTLZ2,CSEA,CSEA,1.1993e+0,8.47e-2,-,15目标.xlsx,IGD,G3,1.1993e+0 (8.47e-2) -
15,DTLZ2,K-RVEA,KRVEA_100,1.1896e+0,8.96e-2,-,15目标.xlsx,IGD,I3,1.1896e+0 (8.96e-2) -
15,DTLZ2,PC-SAEA,PCSAEA_N100,1.4461e+0,5.13e-2,-,15目标.xlsx,IGD,J3,1.4461e+0 (5.13e-2) -
15,DTLZ2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.0582e+0,8.11e-2,,15目标.xlsx,IGD,K3,1.0582e+0 (8.11e-2)
15,DTLZ3,REMO,REMO,3.9813e+2,6.63e+1,+,15目标.xlsx,IGD,D4,3.9813e+2 (6.63e+1) +
15,DTLZ3,PIEA,PIEA,3.9762e+2,3.67e+1,+,15目标.xlsx,IGD,E4,3.9762e+2 (3.67e+1) +
15,DTLZ3,MCEA/D,MCEAD,2.7556e+2,1.51e+2,+,15目标.xlsx,IGD,F4,2.7556e+2 (1.51e+2) +
15,DTLZ3,CSEA,CSEA,5.4141e+2,1.07e+2,=,15目标.xlsx,IGD,G4,5.4141e+2 (1.07e+2) =
15,DTLZ3,K-RVEA,KRVEA_100,6.0907e+2,9.40e+1,=,15目标.xlsx,IGD,I4,6.0907e+2 (9.40e+1) =
15,DTLZ3,PC-SAEA,PCSAEA_N100,9.3902e+2,8.27e+1,-,15目标.xlsx,IGD,J4,9.3902e+2 (8.27e+1) -
15,DTLZ3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,6.1819e+2,9.24e+1,,15目标.xlsx,IGD,K4,6.1819e+2 (9.24e+1)
15,DTLZ4,REMO,REMO,1.0866e+0,5.11e-2,+,15目标.xlsx,IGD,D5,1.0866e+0 (5.11e-2) +
15,DTLZ4,PIEA,PIEA,1.2293e+0,7.81e-2,-,15目标.xlsx,IGD,E5,1.2293e+0 (7.81e-2) -
15,DTLZ4,MCEA/D,MCEAD,1.2933e+0,6.49e-3,-,15目标.xlsx,IGD,F5,1.2933e+0 (6.49e-3) -
15,DTLZ4,CSEA,CSEA,1.1714e+0,6.26e-2,=,15目标.xlsx,IGD,G5,1.1714e+0 (6.26e-2) =
15,DTLZ4,K-RVEA,KRVEA_100,1.5554e+0,9.58e-2,-,15目标.xlsx,IGD,I5,1.5554e+0 (9.58e-2) -
15,DTLZ4,PC-SAEA,PCSAEA_N100,1.4636e+0,4.04e-2,-,15目标.xlsx,IGD,J5,1.4636e+0 (4.04e-2) -
15,DTLZ4,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.1500e+0,8.11e-2,,15目标.xlsx,IGD,K5,1.1500e+0 (8.11e-2)
15,DTLZ5,REMO,REMO,4.2886e-1,9.85e-2,+,15目标.xlsx,IGD,D6,4.2886e-1 (9.85e-2) +
15,DTLZ5,PIEA,PIEA,2.3074e-1,2.79e-2,+,15目标.xlsx,IGD,E6,2.3074e-1 (2.79e-2) +
15,DTLZ5,MCEA/D,MCEAD,2.9499e-1,5.78e-2,+,15目标.xlsx,IGD,F6,2.9499e-1 (5.78e-2) +
15,DTLZ5,CSEA,CSEA,4.5481e-1,6.62e-2,=,15目标.xlsx,IGD,G6,4.5481e-1 (6.62e-2) =
15,DTLZ5,K-RVEA,KRVEA_100,5.0676e-1,1.22e-1,=,15目标.xlsx,IGD,I6,5.0676e-1 (1.22e-1) =
15,DTLZ5,PC-SAEA,PCSAEA_N100,6.7646e-1,9.35e-2,-,15目标.xlsx,IGD,J6,6.7646e-1 (9.35e-2) -
15,DTLZ5,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,5.0678e-1,8.77e-2,,15目标.xlsx,IGD,K6,5.0678e-1 (8.77e-2)
15,DTLZ6,REMO,REMO,1.1755e+1,7.90e-1,-,15目标.xlsx,IGD,D7,1.1755e+1 (7.90e-1) -
15,DTLZ6,PIEA,PIEA,3.6459e+0,1.64e+0,+,15目标.xlsx,IGD,E7,3.6459e+0 (1.64e+0) +
15,DTLZ6,MCEA/D,MCEAD,6.1906e+0,1.71e+0,+,15目标.xlsx,IGD,F7,6.1906e+0 (1.71e+0) +
15,DTLZ6,CSEA,CSEA,1.1737e+1,1.02e+0,-,15目标.xlsx,IGD,G7,1.1737e+1 (1.02e+0) -
15,DTLZ6,K-RVEA,KRVEA_100,1.1636e+1,1.01e+0,-,15目标.xlsx,IGD,I7,1.1636e+1 (1.01e+0) -
15,DTLZ6,PC-SAEA,PCSAEA_N100,1.3110e+1,4.52e-1,-,15目标.xlsx,IGD,J7,1.3110e+1 (4.52e-1) -
15,DTLZ6,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.0675e+1,5.42e-1,,15目标.xlsx,IGD,K7,1.0675e+1 (5.42e-1)
15,DTLZ7,REMO,REMO,3.1856e+1,5.04e+0,-,15目标.xlsx,IGD,D8,3.1856e+1 (5.04e+0) -
15,DTLZ7,PIEA,PIEA,2.4349e+1,7.56e+0,-,15目标.xlsx,IGD,E8,2.4349e+1 (7.56e+0) -
15,DTLZ7,MCEA/D,MCEAD,2.7128e+1,8.90e+0,-,15目标.xlsx,IGD,F8,2.7128e+1 (8.90e+0) -
15,DTLZ7,CSEA,CSEA,4.2793e+1,2.95e+0,-,15目标.xlsx,IGD,G8,4.2793e+1 (2.95e+0) -
15,DTLZ7,K-RVEA,KRVEA_100,4.0774e+0,1.47e+0,+,15目标.xlsx,IGD,I8,4.0774e+0 (1.47e+0) +
15,DTLZ7,PC-SAEA,PCSAEA_N100,4.2088e+1,3.99e+0,-,15目标.xlsx,IGD,J8,4.2088e+1 (3.99e+0) -
15,DTLZ7,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,1.7001e+1,2.69e+0,,15目标.xlsx,IGD,K8,1.7001e+1 (2.69e+0)
15,WFG1,REMO,REMO,4.1233e+0,1.03e-1,=,15目标.xlsx,IGD,D9,4.1233e+0 (1.03e-1) =
15,WFG1,PIEA,PIEA,4.2496e+0,4.53e-2,-,15目标.xlsx,IGD,E9,4.2496e+0 (4.53e-2) -
15,WFG1,MCEA/D,MCEAD,4.3596e+0,3.65e-2,-,15目标.xlsx,IGD,F9,4.3596e+0 (3.65e-2) -
15,WFG1,CSEA,CSEA,4.1933e+0,7.70e-2,-,15目标.xlsx,IGD,G9,4.1933e+0 (7.70e-2) -
15,WFG1,K-RVEA,KRVEA_100,4.2329e+0,3.48e-2,-,15目标.xlsx,IGD,I9,4.2329e+0 (3.48e-2) -
15,WFG1,PC-SAEA,PCSAEA_N100,4.2888e+0,2.69e-2,-,15目标.xlsx,IGD,J9,4.2888e+0 (2.69e-2) -
15,WFG1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,4.1434e+0,6.29e-2,,15目标.xlsx,IGD,K9,4.1434e+0 (6.29e-2)
15,WFG2,REMO,REMO,5.9668e+0,1.43e+0,-,15目标.xlsx,IGD,D10,5.9668e+0 (1.43e+0) -
15,WFG2,PIEA,PIEA,4.2125e+0,7.99e-1,-,15目标.xlsx,IGD,E10,4.2125e+0 (7.99e-1) -
15,WFG2,MCEA/D,MCEAD,5.8472e+0,1.76e+0,-,15目标.xlsx,IGD,F10,5.8472e+0 (1.76e+0) -
15,WFG2,CSEA,CSEA,5.5463e+0,1.12e+0,-,15目标.xlsx,IGD,G10,5.5463e+0 (1.12e+0) -
15,WFG2,K-RVEA,KRVEA_100,3.0248e+0,3.13e-1,=,15目标.xlsx,IGD,I10,3.0248e+0 (3.13e-1) =
15,WFG2,PC-SAEA,PCSAEA_N100,6.2930e+0,1.15e+0,-,15目标.xlsx,IGD,J10,6.2930e+0 (1.15e+0) -
15,WFG2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,3.4387e+0,8.89e-1,,15目标.xlsx,IGD,K10,3.4387e+0 (8.89e-1)
15,WFG3,REMO,REMO,1.8868e+0,2.06e-1,+,15目标.xlsx,IGD,D11,1.8868e+0 (2.06e-1) +
15,WFG3,PIEA,PIEA,1.4450e+0,1.18e-1,+,15目标.xlsx,IGD,E11,1.4450e+0 (1.18e-1) +
15,WFG3,MCEA/D,MCEAD,1.6444e+0,1.19e-1,+,15目标.xlsx,IGD,F11,1.6444e+0 (1.19e-1) +
15,WFG3,CSEA,CSEA,1.9504e+0,1.43e-1,+,15目标.xlsx,IGD,G11,1.9504e+0 (1.43e-1) +
15,WFG3,K-RVEA,KRVEA_100,2.3262e+0,6.44e-2,-,15目标.xlsx,IGD,I11,2.3262e+0 (6.44e-2) -
15,WFG3,PC-SAEA,PCSAEA_N100,2.1932e+0,7.79e-2,=,15目标.xlsx,IGD,J11,2.1932e+0 (7.79e-2) =
15,WFG3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Original,2.2244e+0,7.70e-2,,15目标.xlsx,IGD,K11,2.2244e+0 (7.70e-2)
15,WFG4,REMO,REMO,1.7812e+1,1.16e+0,-,15目标.xlsx,IGD,D12,1.7812e+1 (1.16e+0) -
15,WFG4,PIEA,PIEA,1.1977e+1,1.96e+0,+,15目标.xlsx,IGD,E12,1.1977e+1 (1.96e+0) +
15,WFG4,MCEA/D,MCEAD,1.1970e+1,1.52e+0,+,15目标.xlsx,IGD,F12,1.1970e+1 (1.52e+0) +
