Problem,M,Metric,View,Truth,ArmA,ArmB,HigherIsBetter,ValidPairs,MeanA,MeanB,MeanDeltaAminusB,MedianDeltaAminusB,MeanRelativeImprovementPct,PairedWinProbability,RankBiserial,PValueRaw
DTLZ4,10,Precision,score_hybrid,population_h1,lambda030,lambda050,1,25,0.977745454545455,0.981260606060606,-0.00351515151515147,-0.00545454545454527,-0.356579270795087,0.22,-0.59,0.00835609468990339
DTLZ4,10,Precision,score_v,population_final,lambda030,lambda050,1,25,0.419749253731343,0.434292537313433,-0.0145432835820896,-0.0161194029850746,-1.31064756689716,0.44,-0.178461538461538,0.435193274549479
DTLZ4,10,Precision,score_v,front_final,lambda030,lambda050,1,25,0.966065671641791,0.965301492537314,0.000764179104477569,0.00477611940298495,0.11697375009439,0.52,0.0461538461538462,0.829454266422271
DTLZ4,10,Precision,score_v,population_h1,lambda030,lambda050,1,25,0.969454545454546,0.97030303030303,-0.000848484848484889,0.000606060606060721,-0.0835271260253602,0.52,-0.0830769230769231,0.689036195563337
DTLZ4,10,Precision,anchor_margin,population_final,lambda030,lambda050,1,25,0.502877611940298,0.505408955223881,-0.0025313432835821,0.0185074626865671,1.0563623795809,0.52,-0.00307692307692308,0.989266019065271
DTLZ4,10,Precision,anchor_margin,front_final,lambda030,lambda050,1,25,0.974901492537314,0.97299104477612,0.00191044776119396,-0.00119402985074646,0.223909657716052,0.44,0.0688405797101449,0.772587357300923
DTLZ4,10,Precision,anchor_margin,population_h1,lambda030,lambda050,1,25,0.981284848484849,0.981478787878788,-0.000193939393939373,2.22044604925031e-16,-0.0179949048075207,0.52,0.00923076923076923,0.977192435184241
DTLZ4,20,IGD,-,-,lambda030,lambda050,0,25,0.912512299562641,0.923500544504407,-0.0109882449417655,-0.00500075712858117,1.03929483014982,0.56,0.224615384615385,0.326049462728915
DTLZ4,20,Precision,score_hybrid,population_final,lambda030,lambda050,1,25,0.450483582089552,0.488310447761194,-0.0378268656716418,-0.0322388059701493,-7.03917659262357,0.2,-0.621538461538461,0.00657087991971042
DTLZ4,20,Precision,score_hybrid,front_final,lambda030,lambda050,1,25,0.997182089552239,0.996656716417911,0.000525373134328353,-0.000597014925373007,0.0556699269825997,0.38,-0.123809523809524,0.587665678398345
DTLZ4,20,Precision,score_hybrid,population_h1,lambda030,lambda050,1,25,0.976969696969697,0.979369696969697,-0.00240000000000003,-0.00181818181818183,-0.244102960485853,0.3,-0.563333333333333,0.0156224504165364
DTLZ4,20,Precision,score_v,population_final,lambda030,lambda050,1,25,0.415665671641791,0.451534328358209,-0.0358686567164179,-0.0376119402985075,-6.53261527874815,0.4,-0.513846153846154,0.0255242427790648
DTLZ4,20,Precision,score_v,front_final,lambda030,lambda050,1,25,0.997802985074627,0.998137313432836,-0.000334328358208951,-0.000597014925373007,-0.0320082632406635,0.3,-0.339181286549708,0.183250777049006
DTLZ4,20,Precision,score_v,population_h1,lambda030,lambda050,1,25,0.969260606060606,0.972242424242424,-0.00298181818181823,-0.00181818181818216,-0.305020460117604,0.28,-0.581538461538462,0.0108734519649818
DTLZ4,20,Precision,anchor_margin,population_final,lambda030,lambda050,1,25,0.43044776119403,0.436632835820895,-0.00618507462686566,-0.00597014925373135,-0.679273613105634,0.4,-0.138461538461538,0.567709166197353
DTLZ4,20,Precision,anchor_margin,front_final,lambda030,lambda050,1,25,0.998949253731343,0.997970149253732,0.000979104477611941,0,0.100274041681702,0.48,0.227272727272727,0.5341796875
DTLZ4,20,Precision,anchor_margin,population_h1,lambda030,lambda050,1,25,0.971151515151515,0.972218181818182,-0.00106666666666663,-0.000606060606060721,-0.107496980687321,0.4,-0.153846153846154,0.492339605763493
